rk,school,league,str,ofs,dfs,sos
1,North Carolina,D1,3.89,1.93,-1.96,7.14
2,University of Southern California,D1,3.62,1.81,-1.81,9.87
3,University of Florida,D1,3.60,1.79,-1.81,10.00
4,University of Georgia,D1,3.57,1.78,-1.79,13.55
5,UCLA,D1,3.56,1.78,-1.78,10.24
6,California,D1,3.54,1.77,-1.78,9.53
7,Baylor University,D1,3.49,1.75,-1.74,6.74
8,University of Miami (Florida),D1,3.35,1.67,-1.68,9.04
9,Stanford,D1,3.34,1.67,-1.67,9.66
10,Vanderbilt University,D1,3.29,1.64,-1.65,11.97
11,University of Alabama,D1,3.27,1.63,-1.64,10.76
12,Oklahoma State University,D1,3.13,1.56,-1.58,9.01
13,Texas A&M University,D1,3.13,1.57,-1.56,11.86
14,University of Michigan,D1,3.08,1.53,-1.55,6.37
15,Clemson University,D1,3.05,1.52,-1.53,8.45
16,University of Virginia,D1,2.99,1.50,-1.49,8.75
17,Texas Tech University,D1,2.82,1.40,-1.42,5.92
18,Pepperdine,D1,2.81,1.41,-1.41,7.14
19,Arizona State University,D1,2.75,1.38,-1.37,4.90
20,Ohio State University,D1,2.64,1.32,-1.33,3.99
21,TCU,D1,2.61,1.30,-1.31,7.62
22,University of Mississippi,D1,2.53,1.26,-1.26,5.96
23,Georgia Tech,D1,2.51,1.27,-1.25,8.91
24,University of Kentucky,D1,2.49,1.24,-1.25,6.41
25,Mississippi State University,D1,2.47,1.24,-1.23,3.37
26,Duke University,D1,2.44,1.21,-1.23,7.61
27,University of South Carolina,D1,2.36,1.18,-1.18,4.91
28,Auburn University,D1,2.31,1.16,-1.16,4.60
29,Florida State University,D1,2.25,1.13,-1.12,4.01
30,LSU,D1,2.24,1.13,-1.12,4.35
31,University of Notre Dame,D1,2.17,1.09,-1.08,5.42
32,Wichita State University,D1,2.14,1.07,-1.08,1.91
33,Northwestern University,D1,2.12,1.07,-1.05,7.03
34,Rice University,D1,2.01,1.00,-1.01,5.02
35,Virginia Tech,D1,2.00,1.00,-1.00,4.93
36,Purdue University,D1,1.98,0.98,-1.00,4.59
37,Dartmouth College,D1,1.95,0.97,-0.98,3.52
38,University of Arizona,D1,1.95,0.98,-0.97,2.80
39,University of Oklahoma,D1,1.94,0.97,-0.97,5.30
40,College of William and Mary,D1,1.94,0.97,-0.96,2.83
41,University of Tulsa,D1,1.90,0.95,-0.95,2.51
42,Boston College,D1,1.81,0.90,-0.90,4.85
43,DePaul University,D1,1.80,0.89,-0.91,1.45
44,University of Washington,D1,1.80,0.90,-0.90,4.95
45,University of Texas at Austin,D1,1.78,0.89,-0.89,8.99
46,University of South Alabama,D1,1.77,0.88,-0.89,0.94
47,Princeton University,D1,1.74,0.86,-0.88,4.34
48,Saint Mary's College of California,D1,1.74,0.87,-0.87,4.80
49,Armstrong State University,D2,1.73,0.85,-0.88,0.21
50,University of Houston,D1,1.71,0.86,-0.85,2.56
51,University of Arkansas,D1,1.67,0.84,-0.83,2.94
52,Middle Tennessee State University,D1,1.64,0.82,-0.82,1.32
53,Fresno State,D1,1.56,0.78,-0.79,2.09
54,Wake Forest University,D1,1.55,0.77,-0.77,4.48
55,Long Beach State University,D1,1.51,0.76,-0.75,2.10
56,Columbia University,D1,1.46,0.73,-0.74,3.91
57,"University of Maryland, College Park",D1,1.46,0.73,-0.73,3.80
58,Indiana University-Bloomington,D1,1.42,0.72,-0.71,2.55
59,University of Utah,D1,1.42,0.70,-0.72,5.02
60,Old Dominion University,D1,1.39,0.70,-0.69,2.03
61,Penn State University,D1,1.38,0.69,-0.69,3.95
62,University of Minnesota,D1,1.36,0.68,-0.68,2.01
63,Brown University,D1,1.32,0.66,-0.66,3.60
64,San Jose State University,D1,1.31,0.66,-0.65,2.21
65,University of Oregon,D1,1.28,0.64,-0.64,4.67
66,Syracuse University,D1,1.27,0.64,-0.63,6.49
67,University of Portland,D1,1.26,0.62,-0.64,1.35
68,Harvard University,D1,1.26,0.64,-0.63,4.15
69,Brigham Young University,D1,1.25,0.63,-0.62,3.21
70,Cornell University,D1,1.24,0.61,-0.62,1.54
71,Yale University,D1,1.23,0.60,-0.63,2.67
72,Washington State University,D1,1.20,0.60,-0.60,2.40
73,University of Illinois,D1,1.20,0.60,-0.60,2.72
74,University of Tennessee,D1,1.20,0.60,-0.59,4.83
75,Michigan State University,D1,1.19,0.60,-0.59,2.01
76,University of Memphis,D1,1.19,0.59,-0.60,4.19
77,San Diego State University,D1,1.16,0.59,-0.58,2.91
78,Virginia Commonwealth University,D1,1.16,0.58,-0.58,1.42
79,SMU,D1,1.16,0.58,-0.58,2.12
80,University of Colorado,D1,1.13,0.57,-0.56,2.86
81,Tulane University,D1,1.10,0.54,-0.56,2.38
82,Marshall University,D1,1.09,0.55,-0.54,2.42
83,University of Texas at Arlington,D1,1.07,0.54,-0.53,1.09
84,University of Louisville,D1,1.03,0.52,-0.52,3.08
85,Stony Brook University,D1,1.03,0.50,-0.52,0.43
86,Charleston Southern University,D1,1.01,0.50,-0.51,0.53
87,Drake University,D1,1.01,0.50,-0.51,0.66
88,University of New Mexico,D1,1.00,0.51,-0.49,2.74
89,University of Iowa,D1,0.98,0.50,-0.49,2.80
90,University of Kansas,D1,0.98,0.49,-0.49,3.24
91,University of Denver,D1,0.98,0.49,-0.49,1.52
92,University of North Florida,D1,0.97,0.48,-0.49,0.97
93,University of Nebraska,D1,0.96,0.49,-0.47,2.21
94,"University of Wisconsin, Madison",D1,0.95,0.49,-0.47,1.65
95,"Univ. of Missouri, Columbia",D1,0.95,0.48,-0.47,4.32
96,North Carolina State,D1,0.94,0.48,-0.47,4.36
97,Chattanooga,D1,0.92,0.47,-0.46,0.59
98,Gonzaga University,D1,0.92,0.47,-0.45,1.10
99,Georgia State University,D1,0.92,0.45,-0.47,2.25
100,UC Santa Barbara,D1,0.92,0.45,-0.46,1.95
101,Brigham Young University-Hawaii,D2,0.87,0.43,-0.44,0.06
102,Univ. of San Francisco,D1,0.85,0.42,-0.43,2.32
103,University of Central Florida,D1,0.82,0.42,-0.41,1.54
104,Miami University (Ohio),D1,0.81,0.40,-0.41,1.21
105,East Tennessee State University,D1,0.75,0.38,-0.37,0.57
106,University of South Florida,D1,0.74,0.37,-0.37,3.90
107,Samford University,D1,0.74,0.37,-0.37,1.36
108,University of North Texas,D1,0.70,0.34,-0.36,2.99
109,"Univ. of Hawaii, Manoa",D1,0.69,0.35,-0.34,2.45
110,Cal State Northridge,D1,0.69,0.35,-0.33,1.05
111,Boston University,D1,0.64,0.31,-0.33,0.94
112,Florida International University (FIU),D1,0.62,0.32,-0.31,1.47
113,Liberty University,D1,0.60,0.31,-0.29,0.64
114,"Univ. of Massachusetts, Amherst",D1,0.57,0.28,-0.29,0.84
115,UC Irvine,D1,0.57,0.29,-0.28,1.55
116,Univ. of Wyoming,D1,0.57,0.28,-0.29,1.02
117,University of Pennsylvania,D1,0.56,0.28,-0.28,2.34
118,Univ. of Pittsburgh,D1,0.56,0.28,-0.28,7.10
119,Barry University,D2,0.50,0.25,-0.25,0.35
120,Stetson University,D1,0.48,0.25,-0.23,0.51
121,Sacramento State,D1,0.46,0.23,-0.23,1.30
122,St. John's University,D1,0.45,0.24,-0.22,1.23
123,West Virginia University,D1,0.45,0.23,-0.22,1.52
124,University of Nevada,D1,0.41,0.20,-0.21,0.84
125,ULM (Univ. of Louisiana at Monroe),D1,0.40,0.19,-0.21,0.68
126,University of the Pacific (California),D1,0.39,0.20,-0.19,1.92
127,Xavier University,D1,0.39,0.20,-0.19,0.88
128,Marquette,D1,0.38,0.19,-0.19,0.91
129,Murray State University,D1,0.34,0.17,-0.17,0.30
130,Florida Gulf Coast University,D1,0.33,0.16,-0.17,1.67
131,Iowa State University,D1,0.31,0.14,-0.16,1.65
132,Univ. of Texas at San Antonio,D1,0.30,0.16,-0.14,1.07
133,UAB,D1,0.29,0.14,-0.14,1.90
134,Louisiana Tech University,D1,0.28,0.14,-0.14,1.38
135,Univ. of West Florida,D2,0.28,0.14,-0.13,0.26
136,Santa Clara University,D1,0.27,0.14,-0.14,2.14
137,Texas A&M Corpus-Christi,D1,0.27,0.14,-0.13,0.85
138,Troy University,D1,0.27,0.12,-0.15,0.86
139,Stephen F. Austin,D1,0.27,0.14,-0.13,1.09
140,Coastal Carolina University,D1,0.27,0.13,-0.13,0.57
141,Kansas State,D1,0.26,0.12,-0.14,1.57
142,Boise State University,D1,0.26,0.13,-0.13,1.38
143,Winthrop University,D1,0.25,0.12,-0.13,1.64
144,UC Davis,D1,0.25,0.13,-0.12,0.80
145,East Carolina University,D1,0.24,0.12,-0.12,1.20
146,Saint Leo University,D2,0.24,0.12,-0.12,0.27
147,University of Idaho,D1,0.22,0.11,-0.11,0.67
148,Charlotte,D1,0.22,0.11,-0.11,0.65
149,College of Charleston,D1,0.20,0.11,-0.09,1.67
150,Williams College,D3,0.19,0.08,-0.11,0.18
151,UNLV,D1,0.17,0.09,-0.08,1.83
152,Utah State University,D1,0.16,0.08,-0.08,0.65
153,Elon University,D1,0.15,0.08,-0.07,0.50
154,Grand Canyon University,D1,0.13,0.05,-0.08,0.70
155,Furman University,D1,0.13,0.06,-0.07,1.25
156,Upper Iowa University,D2,0.11,0.04,-0.07,0.03
157,Univ. of Central Arkansas,D1,0.10,0.06,-0.05,0.23
158,Northwestern State University,D1,0.09,0.05,-0.04,0.76
159,University of Connecticut,D1,0.08,0.04,-0.05,0.69
160,Northern Arizona University,D1,0.07,0.03,-0.04,1.01
161,Nicholls State University,D1,0.06,0.04,-0.02,0.84
162,UTEP,D1,0.05,0.02,-0.02,0.49
163,James Madison University,D1,0.04,0.01,-0.03,0.59
164,Columbus State University,D2,0.03,0.02,-0.01,0.21
165,Saint Louis University,D1,0.01,0.01,0.01,0.25
166,Coppin State College,D1,0.00,0.00,0.00,0.29
167,Western Michigan University,D1,-0.01,-0.01,0.01,0.58
168,Temple University,D1,-0.04,-0.02,0.02,0.43
169,University of Richmond,D1,-0.05,-0.02,0.03,0.71
170,University of San Diego,D1,-0.05,-0.02,0.03,2.67
171,Davidson College,D1,-0.08,-0.04,0.04,0.51
172,UNC Wilmington,D1,-0.08,-0.04,0.04,0.77
173,Nova Southeastern University,D2,-0.09,-0.05,0.05,0.24
174,New Mexico State University,D1,-0.09,-0.05,0.04,0.78
175,Ball State University,D1,-0.10,-0.04,0.06,0.57
176,University of Cincinnati,D1,-0.13,-0.06,0.07,0.97
177,Cal State Fullerton,D1,-0.13,-0.06,0.07,1.08
178,Hawaii Pacific University,D2,-0.14,-0.10,0.05,0.24
179,ASA College,NJCAA I,-0.15,-0.08,0.08,0.05
180,Georgetown University,D1,-0.16,-0.08,0.08,0.68
181,Cal Poly,D1,-0.18,-0.09,0.09,1.22
182,U.S. Air Force Academy,D1,-0.18,-0.08,0.10,0.61
183,Loyola Marymount University,D1,-0.20,-0.10,0.10,2.59
184,University of Southern Mississippi,D1,-0.20,-0.10,0.11,0.66
185,Eastern Kentucky University,D1,-0.20,-0.10,0.11,0.41
186,Lynn University,D2,-0.22,-0.10,0.12,0.30
187,University of Toledo,D1,-0.23,-0.12,0.11,0.71
188,St. Mary's University (Texas),D2,-0.23,-0.12,0.12,0.10
189,UNC Greensboro,D1,-0.24,-0.11,0.13,0.59
190,Eastern Michigan University,D1,-0.25,-0.12,0.13,1.17
191,Claremont-Mudd-Scripps,D3,-0.25,-0.12,0.13,0.08
192,University at Buffalo,D1,-0.25,-0.13,0.13,0.63
193,Bethune-Cookman University,D1,-0.26,-0.13,0.12,0.20
194,"Southern Illinois, Carbondale",D1,-0.27,-0.14,0.13,0.58
195,Rutgers University,D1,-0.27,-0.14,0.13,1.49
196,Auburn University Montgomery,NAIA,-0.28,-0.15,0.13,0.07
197,Drexel University,D1,-0.29,-0.14,0.15,0.26
198,Abilene Christian University,D1,-0.29,-0.14,0.15,0.69
199,McNeese State University,D1,-0.30,-0.14,0.16,1.03
200,Western Kentucky University,D1,-0.31,-0.16,0.15,0.96
201,Midwestern State University,D2,-0.32,-0.17,0.15,0.29
202,Univ. of Incarnate Word,D1,-0.32,-0.16,0.16,1.14
203,University of Louisiana,D1,-0.32,-0.16,0.17,1.01
204,Akron,D1,-0.34,-0.17,0.17,0.60
205,Florida Atlantic University,D1,-0.35,-0.17,0.17,0.54
206,Southeastern Louisiana University,D1,-0.35,-0.17,0.18,0.38
207,Fordham University,D1,-0.40,-0.22,0.17,0.67
208,Appalachian State University,D1,-0.41,-0.21,0.20,0.67
209,Emory University,D3,-0.42,-0.22,0.20,0.24
210,New York Institute of Technology,D2,-0.44,-0.23,0.21,0.21
211,University of New Orleans,D1,-0.48,-0.23,0.24,0.59
212,Montana,D1,-0.50,-0.25,0.25,0.64
213,Seton Hall University,D1,-0.51,-0.26,0.26,0.34
214,Northern Illinois University,D1,-0.56,-0.28,0.29,0.34
215,"Southern Illinois, Edwardsville",D1,-0.57,-0.28,0.29,0.29
216,Campbell University,D1,-0.59,-0.30,0.30,0.42
217,Georgia Southern University,D1,-0.60,-0.31,0.29,0.46
218,Northeastern State,D2,-0.60,-0.30,0.30,0.12
219,Creighton University,D1,-0.60,-0.31,0.29,0.23
220,University at Albany,D1,-0.62,-0.30,0.31,0.69
221,Texas State University,D1,-0.62,-0.30,0.32,1.21
222,Towson University,D1,-0.62,-0.31,0.31,0.28
223,Amherst College,D3,-0.65,-0.35,0.30,0.16
224,Lipscomb University,D1,-0.67,-0.33,0.34,0.70
225,University of Detroit Mercy,D1,-0.67,-0.35,0.32,0.43
226,IPFW,D1,-0.68,-0.33,0.34,0.31
227,Univ. of Illinois at Chicago,D1,-0.68,-0.34,0.34,0.39
228,Duquesne University,D1,-0.71,-0.35,0.35,0.56
229,"Univ. of Maryland, Baltimore County",D1,-0.71,-0.35,0.36,0.72
230,Drury University,D2,-0.72,-0.35,0.37,0.09
231,Eastern Illinois University,D1,-0.75,-0.37,0.38,0.26
232,U.S. Naval Academy,D1,-0.77,-0.38,0.39,0.28
233,"Academy of Art University (San Francisco, CA)",D2,-0.78,-0.38,0.40,0.14
234,Cleveland State University,D1,-0.78,-0.38,0.40,0.54
235,George Washington University,D1,-0.78,-0.39,0.40,1.16
236,University of Texas-Pan American,D1,-0.79,-0.40,0.39,0.57
237,Youngstown State University,D1,-0.81,-0.40,0.41,0.40
238,Univ. of Northern Iowa,D1,-0.82,-0.40,0.41,0.47
239,Univ. of Evansville,D1,-0.83,-0.43,0.40,0.38
240,Weber State,D1,-0.84,-0.42,0.42,0.47
241,Lamar University,D1,-0.86,-0.42,0.43,0.59
242,Arkansas State University,D1,-0.86,-0.42,0.44,0.70
243,Middlebury College,D3,-0.87,-0.44,0.43,0.19
244,Colorado State University,D1,-0.89,-0.45,0.44,0.98
245,Binghamton University,D1,-0.89,-0.45,0.45,0.64
246,Flagler (Fla.),D2,-0.90,-0.44,0.45,0.23
247,Georgia College,D2,-0.91,-0.47,0.44,0.21
248,University of Tennessee at Martin,D1,-0.91,-0.46,0.45,0.39
249,Portland State University,D1,-0.92,-0.45,0.47,0.33
250,Providence College,D1,-0.94,-0.48,0.46,0.40
251,Saint Joseph's University,D1,-0.97,-0.49,0.48,0.45
252,Wright State University,D1,-0.97,-0.48,0.49,0.19
253,Bradley University,D1,-0.99,-0.49,0.50,0.34
254,Univ. of Dayton,D1,-1.01,-0.50,0.51,0.36
255,Eastern Washington University,D1,-1.02,-0.50,0.51,0.87
256,Long Island University (Brooklyn),D1,-1.03,-0.53,0.51,0.26
257,UC San Diego,D2,-1.07,-0.53,0.54,0.31
258,Radford University,D1,-1.08,-0.55,0.53,0.62
259,Bowdoin College,D3,-1.10,-0.59,0.52,0.16
260,Univ. of Northern Colorado,D1,-1.10,-0.56,0.54,0.55
261,Johns Hopkins University,D3,-1.14,-0.61,0.54,0.13
262,Montana State University-Bozeman,D1,-1.16,-0.59,0.56,0.88
263,Presbyterian College,D1,-1.18,-0.59,0.59,0.23
264,Sam Houston State University,D1,-1.18,-0.59,0.59,0.67
265,Grand Valley State University,D2,-1.18,-0.61,0.57,0.08
266,Lindsey Wilson (Ky.),NAIA,-1.18,-0.58,0.60,0.08
267,McKendree University (Ill.),D2,-1.19,-0.59,0.60,0.02
268,Embry-Riddle (Fla.),NAIA,-1.19,-0.59,0.60,0.06
269,Seattle University,D1,-1.20,-0.62,0.58,0.67
270,Pomona-Pitzer Colleges,D3,-1.21,-0.58,0.62,0.10
271,Kennesaw State University,D1,-1.21,-0.60,0.61,0.85
272,Northwood (Fla.),NAIA,-1.21,-0.62,0.60,0.12
273,Georgia Gwinnett College,NAIA,-1.22,-0.61,0.61,0.14
274,Missouri State University,D1,-1.24,-0.62,0.62,0.59
275,North Carolina Central University,D1,-1.25,-0.64,0.62,0.39
276,Lehigh University,D1,-1.26,-0.64,0.62,0.29
277,South Dakota State,D1,-1.27,-0.64,0.63,0.21
278,Shorter University,D2,-1.27,-0.63,0.64,0.17
279,Azusa Pacific University,D2,-1.28,-0.64,0.64,0.17
280,Quinnipiac University,D1,-1.28,-0.66,0.62,0.21
281,"Southern University, Baton Rouge",D1,-1.29,-0.65,0.64,0.21
282,Morgan State University,D1,-1.29,-0.65,0.64,1.04
283,U.S. Military Academy,D1,-1.31,-0.64,0.66,0.79
284,Wofford,D1,-1.31,-0.66,0.65,0.37
285,University of Rhode Island,D1,-1.33,-0.67,0.66,0.25
286,Tyler JC,NJCAA I,-1.33,-0.68,0.65,0.12
287,UMKC,D1,-1.36,-0.68,0.68,0.29
288,Longwood University,D1,-1.38,-0.69,0.69,0.31
289,Northwood University (Mich.),D2,-1.39,-0.69,0.69,0.04
290,"University of South Carolina, Upstate",D1,-1.39,-0.69,0.70,0.61
291,Niagara University,D1,-1.41,-0.69,0.72,0.24
292,Belmont University,D1,-1.43,-0.71,0.72,0.39
293,Villanova University,D1,-1.44,-0.72,0.72,0.53
294,Fairleigh Dickinson University,D1,-1.45,-0.72,0.74,0.33
295,Queens University of Charlotte,D2,-1.46,-0.73,0.73,0.05
296,Rollins College,D2,-1.46,-0.73,0.74,0.26
297,Dallas Baptist (Texas),D2,-1.47,-0.73,0.73,0.10
298,Bryant University,D1,-1.47,-0.76,0.71,0.40
299,Florida Tech,D2,-1.48,-0.75,0.73,0.09
300,University of Delaware,D1,-1.48,-0.73,0.75,0.46
301,Butler University,D1,-1.48,-0.74,0.74,0.62
302,MIT,D3,-1.50,-0.77,0.73,0.14
303,Gardner-Webb University,D1,-1.51,-0.75,0.76,0.51
304,Cal State L.A.,D2,-1.53,-0.76,0.77,0.20
305,University of South Dakota,D1,-1.53,-0.78,0.76,0.15
306,Idaho State University,D1,-1.53,-0.76,0.78,0.96
307,Newman University,D2,-1.54,-0.77,0.77,0.09
308,Jacksonville State University,D1,-1.54,-0.77,0.77,0.62
309,Arkansas Tech University,D2,-1.55,-0.80,0.75,0.03
310,Morehead State University,D1,-1.55,-0.78,0.77,0.70
311,Siena College,D1,-1.56,-0.77,0.78,0.14
312,Wingate University,D2,-1.56,-0.77,0.79,0.09
313,UC Riverside,D1,-1.57,-0.78,0.78,0.66
314,"Univ. of Wisconsin, Milwaukee",D1,-1.59,-0.78,0.81,0.78
315,Erskine College,D2,-1.59,-0.80,0.79,0.03
316,St. Edward's University,D2,-1.59,-0.79,0.80,0.20
317,South Carolina State,D1,-1.60,-0.79,0.81,0.86
318,Queens College (New York),D2,-1.61,-0.81,0.81,0.12
319,Univ. of Chicago,D3,-1.62,-0.83,0.79,0.12
320,Western Carolina University,D1,-1.63,-0.82,0.81,0.29
321,Washington & Lee University,D3,-1.64,-0.82,0.81,0.07
322,St. Francis Univ. (Pennsylvania),D1,-1.64,-0.82,0.82,0.25
323,Southwest Baptist,D2,-1.64,-0.83,0.82,0.08
324,Concordia College (New York),D2,-1.65,-0.83,0.82,0.25
325,Point Loma Nazarene University (Calif.),D2,-1.67,-0.83,0.84,0.35
326,Indiana University of Pennsylvania,D2,-1.68,-0.85,0.83,0.05
327,Francis Marion University,D2,-1.70,-0.85,0.85,0.12
328,University of the Incarnate Word,D2,-1.70,-0.84,0.86,0.11
329,"State College of Florida, Manatee-Sarasota",NJCAA I,-1.70,-0.86,0.84,0.04
330,Xavier University of Louisiana,NAIA,-1.71,-0.86,0.85,0.09
331,Carnegie Mellon University,D3,-1.72,-0.87,0.84,0.16
332,Oakland University,D1,-1.74,-0.88,0.86,0.48
333,George Mason University,D1,-1.75,-0.89,0.85,0.13
334,Univ. of North Dakota,D1,-1.75,-0.88,0.87,0.62
335,Hofstra University,D1,-1.75,-0.89,0.87,0.25
336,Univ. of the South,D3,-1.76,-0.90,0.86,0.04
337,Wesleyan University,D3,-1.77,-0.89,0.88,0.08
338,St. Bonaventure University,D1,-1.77,-0.87,0.89,0.26
339,Wayne State (MI),D2,-1.77,-0.89,0.88,0.04
340,Tusculum College,D2,-1.77,-0.89,0.88,0.05
341,Howard University,D1,-1.78,-0.89,0.89,0.27
342,Washington University in St. Louis,D3,-1.79,-0.91,0.88,0.09
343,Univ. of Indianapolis,D2,-1.79,-0.89,0.91,0.09
344,Alcorn State University,D1,-1.81,-0.91,0.90,0.23
