player,team,str
Axel Alvarez Llamas,University of Oklahoma,11.267
Julian Lenz,Baylor University,9.083
Mackenzie McDonald,UCLA,9.033
Quentin Monaghan,University of Notre Dame,8.923
Stefan Lindmark,University of Mississippi,8.594
Noah Rubin,Wake Forest University,8.523
Farris Gosea,University of Illinois,8.484
Søren Hess-Olesen,University of Texas,8.066
Guillermo Nuñez,TCU,8.013
Paul Oosterbaan,University of Georgia,7.943
Tim Kopinski,University of Illinois,7.837
Sebastian Stiefelmeyer,University of Louisville,7.820
Ryan Shane,University of Virginia,7.770
Gonzales Austin,Vanderbilt University,7.708
Wayne Montgomery,University of Georgia,7.566
Eric Johnson,University of Southern California,7.552
Mikelis Libietis,University of Tennessee,7.528
Aron Hiltzik,University of Illinois,7.527
Nicolas Alvarez,Duke University,7.443
Chi-Shan Jao,Tulane University,7.375
Diego Hidalgo,University of Florida,7.353
Andrew Harris,University of Oklahoma,7.318
Jared Hiltzik,University of Illinois,7.311
Romain Bogaerts,Wake Forest University,7.227
Mike Vermeer,Columbia University,7.144
Brett Clark,North Carolina,7.113
Or Ram-Harel,University of Tulsa,7.083
Jeremy Efferding,Texas A&M University,7.055
Adrien Berkowicz,University of Texas,7.022
Max Lunkin,Texas A&M University,6.932
Clement Homs,University of Texas,6.930
Andre Goransson,California,6.922
Roberto Cid,University of South Florida,6.901
Arthur Rinderknech,Texas A&M University,6.838
Matic Spec,University of Minnesota,6.837
Bernardo Saraiva,Univ. of San Francisco,6.815
Austin Smith,University of Georgia,6.764
Ronnie Schneider,North Carolina,6.750
Arnau Dachs,TCU,6.736
Benjamin Lock,Florida State University,6.656
Mitchell Frank,University of Virginia,6.649
Dovydas Sakinis,Dartmouth College,6.646
JC Aragone,University of Virginia,6.580
Thai-Son Kwiatkowski,University of Virginia,6.575
Felipe Soares,Texas Tech University,6.574
Beck Pennington,University of Kentucky,6.555
Raphael Hemmeler,Duke University,6.494
Collin Altamirano,University of Virginia,6.488
Aleks Vukic,University of Illinois,6.430
Robert Kelly,North Carolina,6.385
Tomas Stillman,Univ. of Texas at San Antonio,6.353
Filip Vittek,University of San Diego,6.323
Dennis Mkrtchian,UCLA,6.323
Rishab Agarwal,Mississippi State University,6.319
Simon Stevens,University of Oregon,6.276
Florin Bragusi,University of Oklahoma,6.276
Roberto Quiroz,University of Southern California,6.272
Alexandru Ghilea,University of Oklahoma,6.255
Tom Fawcett,Stanford University,6.160
Henry Craig,University of Denver,6.158
Brayden Schnur,North Carolina,6.147
Uros Petronijevic,University of San Diego,6.135
Nick Chappell,TCU,6.129
Cameron Norrie,TCU,6.114
Peter Tarwid,Brown University,6.051
Martin Redlicki,UCLA,6.018
Winston Lin,Columbia University,6.007
Dane Webb,University of Oklahoma,5.987
Nick Wood,University of Georgia,5.986
William Bushamuka,University of Kentucky,5.940
Maxime Hinnisdaels,Auburn University,5.928
Hunter Callahan,Ohio State University,5.907
Chris Diaz,Ohio State University,5.885
AJ Catanzariti,Texas A&M University,5.885
Florian Kraenzler,"Univ. of Wisconsin, Green Bay",5.878
Mate Zsiga,Baylor University,5.876
Juan Cruz Estevarena,Mississippi State University,5.869
Jordan Angus,University of San Diego,5.850
Robbie Mudge,North Carolina State,5.847
Edoardo Tessaro,Virginia Tech,5.838
Alejandro Espejo,University of Tulsa,5.838
Diogo Rocha,University of Denver,5.805
Daan Maasland,University of Oregon,5.798
Elliott Orkin,University of Florida,5.788
Boris Arias,LSU,5.780
Dan Richardson,Princeton University,5.772
Alen Salibasic,Drake University,5.765
Amerigo Contini,Virginia Tech,5.746
Jordan Daigle,LSU,5.742
John Morrissey,Stanford University,5.727
Leandro Toledo,University of Minnesota,5.717
Robert Livi,St. John's University,5.709
Carlos Lopez Villa,Old Dominion University,5.693
Luis Valero,University of Tennessee,5.683
Facundo Lugones,TCU,5.683
Daniel Valent,Vanderbilt University,5.655
Erick Reyes,St. John's University,5.653
Maxime Tchoutakian,Baylor University,5.577
Freddy Gelbrich,San Diego State University,5.558
Nicky Hu,Harvard University,5.558
Adam Moundir,Old Dominion University,5.557
Jake Douglas,University of Washington,5.539
Felipe Rios,Baylor University,5.534
Chase Perez-Blanco,University of Florida,5.530
Tin Ostojic,Wichita State University,5.519
Florian Lakat,Mississippi State University,5.516
Ralf Steinbach,Ohio State University,5.507
Yannick Hanfmann,University of Southern California,5.496
Sebastian Rey,Tulane University,5.471
Joao Monteiro,Virginia Tech,5.466
Diego Galeano,Baylor University,5.459
Hunter Reese,University of Tennessee,5.451
Rogerio Ribeiro,East Tennessee State University,5.434
Lloyd Glasspool,University of Texas,5.429
Sam Shropshire,Northwestern University,5.426
Daniel Leitner,University of South Alabama,5.411
Mitchell Pritchard,University of Tulsa,5.410
Andreas Bjerrehus,Virginia Tech,5.398
Dominik Koepfer,Tulane University,5.351
Zack McCourt,Princeton University,5.344
Robin Riethmueller,Middle Tennessee State University,5.336
Toshiki Matsuya,University of Illinois,5.319
Tony Lupieri,Baylor University,5.304
Ben Wagland,University of Georgia,5.276
Haris Poric,Wofford,5.275
Lukas Ollert,Auburn University,5.230
Ritchie KRUUNENBURG,Morehead State University,5.203
Slim Hamza,University of Utah,5.189
Dusty Boyer,University of Nebraska,5.172
Hunter Koontz,Virginia Tech,5.171
Beck Bond,North Carolina State,5.155
Vince Schneider,Baylor University,5.142
Samm Butler,SMU,5.138
Mikael Torpegaard,Ohio State University,5.137
Christopher Eubanks,Georgia Tech,5.102
Tyler Lu,Yale University,5.091
Gregory Bayane,California,5.042
Runhao Hua,University of Michigan,5.030
Greg Garcia,Brown University,5.025
Hendrik Jebens,San Diego State University,5.019
Juan Moreiras,Univ. of Texas at San Antonio,5.016
Thomas Colautti,Princeton University,4.970
Jason Tahir,Duke University,4.948
Miroslav Herzan,Wichita State University,4.938
Ryoto Tachi,UCLA,4.886
Christian Seraphim,Wake Forest University,4.886
Jordi Massalle Ferrer,Charlotte,4.880
Albert Wagner,University of Louisville,4.827
Chris Barrus,University of Central Florida,4.827
Jack Findel-Hawkins,University of North Florida,4.825
Alex Sendegeya,Texas Tech University,4.824
Mitch Stewart,University of Washington,4.795
Alex Galoustian,DePaul University,4.791
Giammarco Micolani,University of Arkansas,4.785
Carlos Benito,Georgia Tech,4.766
Jose Antonio Salazar,University of Oklahoma,4.764
Jolan Cailleau,Texas Tech University,4.742
Alejandro Llamas,SMU,4.741
Carlos Bautista,University of Tulsa,4.730
Vinod Gowda,University of Mississippi,4.725
Tristan Meraut,Oklahoma State University,4.710
Michael Voscek,Virginia Commonwealth University,4.707
Marko Goles-Babic,San Diego State University,4.698
Strong Kirchheimer,Northwestern University,4.689
Bruno Semenzato,Duke University,4.663
Josh Hagar,University of Notre Dame,4.654
Max de Vroome,University of Southern California,4.639
Nathan Pasha,University of Georgia,4.636
Ben Davis,Middle Tennessee State University,4.632
Ciro Riccardi,Dartmouth College,4.601
Felix Corwin,University of Minnesota,4.585
Shane Vinsant,Texas A&M University,4.567
Hassan Ndayishimye,Troy University,4.558
Kyle Koch,University of South Carolina,4.553
Michael Rinaldi,Florida State University,4.547
Bernardo Casares Rosa,Cornell University,4.544
Jonathan Ho,Wake Forest University,4.538
Jurence Mendoza,Oklahoma State University,4.538
Miguel Diaz,University of the Pacific (California),4.526
Marco Nunez,Florida State University,4.526
Alex Gasson,University of Denver,4.524
Tito Moreiras,Univ. of Texas at San Antonio,4.517
Lucas Gerch,Oklahoma State University,4.491
Karue Sell,UCLA,4.484
Aaron Gomez,Virginia Tech,4.475
Jonny Wang,University of Southern California,4.429
Rhys Johnson,Vanderbilt University,4.416
Rakshay Thakkar,Pepperdine,4.373
Gabriel Dias,Troy University,4.366
Chao-Yu Huang,University of Southern Mississippi,4.351
Lucas Hejhal,St. John's University,4.344
Henrik Wiersholm,University of Virginia,4.340
Chris Mengel,Duke University,4.339
Lefteris Theodorou,University of Iowa,4.312
Gordon Watson,University of Florida,4.310
Nick Crystal,University of Southern California,4.307
Maksim Kan,Wake Forest University,4.301
Jordi Vives,Florida Gulf Coast University,4.300
Van Damrongsri,University of Louisville,4.289
Oliver Pramming,University of South Florida,4.288
Kevin Metka,Ohio State University,4.286
Sebastian Ermicioiu,University of Texas at Arlington,4.286
Ace Matias,UNLV,4.285
David Biosca,East Tennessee State University,4.282
Chris Vrabel,Cornell University,4.258
Moez Chargui,University of Nevada,4.256
Piotr Lomacki,University of Miami (Florida),4.254
Josh Zeoli,Fresno State,4.250
Tuki Jacobs,University of South Alabama,4.249
Jakob Sude,Oklahoma State University,4.242
Eduardo Segura,Georgia Tech,4.237
Sven Lalic,Indiana University-Bloomington,4.225
Garrett Patton,Boise State University,4.205
Nicolas Podesta,University of Pennsylvania,4.176
Jerry Lopez,University of Kentucky,4.174
Zvonimir Podvinski,Old Dominion University,4.167
Sam Matheson,Liberty University,4.153
Shane Monroe,Brigham Young University,4.136
Chris Kipouras,Dartmouth College,4.128
Jayson Amos,University of Oregon,4.125
Sasha Gozun,University of South Florida,4.104
Tim Srkala,University of South Alabama,4.090
David Hsu,Stanford University,4.088
Connor Glennon,University of Memphis,4.084
Max Andrews,Rice University,4.078
Catalin Fifea,Virginia Commonwealth University,4.075
Ignacio Gonzalez-Muniz,University of South Florida,4.073
Spencer Papa,University of Oklahoma,4.071
Dylan Steffens,Illinois State University,4.061
Ethan Dunbar,University of Richmond,4.056
David Wilczynski,Stanford University,4.048
Skander Mansouri,Wake Forest University,4.038
Patrick O'Keefe,Radford University,4.031
Jaan Kononov,"Univ. of Maryland, Baltimore County",4.017
Marko Krickovic,Auburn University,4.013
Matthew Kirby,University of Tulsa,4.002
Stuart Tierney,Portland State University,3.988
Herkko Pollanen,Ohio State University,3.969
Zach Mueck,Xavier University,3.964
Diego Vives,Princeton University,3.929
Ben Lott,Drake University,3.920
Javier Martin-Morillas,Montana State University-Bozeman,3.905
Daniel Sardu,University of Oregon,3.894
Oskar Wikberg,California,3.885
Jack Murray,North Carolina,3.880
Philip Nelson,Boston College,3.877
Guilherme Hadlich,Pepperdine,3.875
Filip Bergevi,California,3.874
Trey Yates,University of Kentucky,3.862
Ilija Cuic,Wichita State University,3.845
Brian Yeung,Harvard University,3.828
Santtu Leskinnen,UNC Wilmington,3.827
Markus Schultz,NJIT,3.827
Nick Bybel,Bucknell University,3.797
Suresh Eswaran,Vanderbilt University,3.781
Nils Ellefsen,University of Kentucky,3.777
James Wade,UC Davis,3.764
TJ Pura,Duke University,3.761
Stefan Doehler,Yale University,3.759
Alex Braun,Montana,3.746
Nick Naumann,University of Texas,3.735
Ricardo Mayagoitia,Texas A&M-Corpus Christi,3.723
Ryan Andrada,University of Nevada,3.716
Sebastian Heim,UC Irvine,3.714
Alexander Day,Princeton University,3.713
Linus Erhart,University of Nebraska,3.704
Zach Hublitz,UNC Wilmington,3.698
Randy Phillips,UNC Greensboro,3.695
David Fox,University of Denver,3.690
Dragos Ignat,Columbia University,3.678
Juan Benitez,Baylor University,3.669
Alex Steinroeder,Harvard University,3.662
Ruben Weber,University of Minnesota,3.653
Konrad Zieba,Northwestern University,3.642
Corey Pang,Cal Poly,3.640
Vuk Velickovic,Coastal Carolina University,3.636
Howard Scott,"Univ. of Wisconsin, Green Bay",3.632
Srikar Alla,Rice University,3.630
Francesc Aulina,University of Central Florida,3.629
Korey Lovett,University of Alabama,3.629
Shawn Hadavi,Columbia University,3.618
Alp Horoz,Northwestern University,3.614
Stefan Fortmann,Elon University,3.613
Trevor Johnson,TCU,3.609
Raheel Manji,Indiana University-Bloomington,3.607
Chris Simpson,LSU,3.600
Mauricio Antun,Belmont University,3.599
Aleksas Tverijonas,Austin Peay State University,3.582
Andres Alfonzo,Florida Gulf Coast University,3.574
Jeffrey Brown,University of Louisville,3.556
Matt Frost,Drake University,3.556
Alec Adamson,UC Davis,3.533
Mario Muniesa,University of Texas at Arlington,3.532
Simon Norenius,North Carolina State,3.531
Michael Zhu,University of Michigan,3.523
Patriek Wolterbeek,East Carolina University,3.520
Nate Lammons,SMU,3.519
Jason Jaruvang,University of Arizona,3.512
Nik Scholtz,University of Mississippi,3.505
Stefan Vinti,Cornell University,3.502
Alex Lawson,University of Notre Dame,3.500
Logan Staggs,Northwestern University,3.498
John Mee,University of Texas,3.493
Calum MacGeoch,Drake University,3.489
Antonio Rodriguez,Virginia Commonwealth University,3.486
David Warren,Rice University,3.485
Milen Ianakiev,San Diego State University,3.460
Arturs Kazijevs,SMU,3.456
Daniil Gerasimov,North Carolina Central University,3.424
Andrew Korinek,LSU,3.408
Gijs Linders,Michigan State University,3.406
Eric Komati,Fresno State,3.405
Austin Powell,North Carolina State,3.403
Rob Galloway,Wofford,3.386
Othar Kordsachia,Loyola Marymount University,3.383
Ashok Narayana,Columbia University,3.365
Harrison O'Keefe,University of South Carolina,3.364
Mate Cutura,Mississippi State University,3.364
Andrei Morin-Kougoucheff,Florida Atlantic University,3.359
Jonathan Gonzalez,University of Texas at Arlington,3.353
Thorsten Bertsch,San Diego State University,3.352
Mark Singnil,University of Toledo,3.346
Marc Hermann,University of Nebraska,3.345
Billy Griffith,California,3.343
Andrew Schafer,University of South Carolina,3.324
Eduardo Mena,Tennessee Tech University,3.314
Brett Forman,Michigan State University,3.313
Jacob Dunbar,University of Richmond,3.286
Morgan Mays,UC Santa Barbara,3.285
Francisco Dias,George Washington University,3.284
Daniel Bednarczyk,Indiana University-Bloomington,3.279
Michael Weindl,Old Dominion University,3.279
Jakub Gewert,Weber State,3.277
Cristian Gonzalez Mendez,Florida State University,3.270
Jakob Amilon,UNLV,3.260
Freddie McGeehan,University of Utah,3.250
Christian Langmo,University of Miami (Florida),3.249
Nathan Eshmade,UC Santa Barbara,3.246
Sam Edwards,University of Alabama,3.244
Billy Pecor,University of Notre Dame,3.240
Nikko Madregallejo,University of Alabama,3.228
Arjun Kadhe,Oklahoma State University,3.221
Nolan Paige,Stanford University,3.221
Stjepan Sisko,University of Toledo,3.208
Ravi Patel,Drake University,3.202
Jannis Koeke,Georgia State University,3.201
Jose Gracia,Florida State University,3.198
Marko Lovrinovic,Belmont University,3.184
Alex Fennell,Penn State University,3.174
Wilfredo Gonzalez,University of Miami (Florida),3.160
Matt Barry,Penn State University,3.139
Yannick Born,Middle Tennessee State University,3.137
Hayden Sabatka,University of New Mexico,3.120
Brent Lett,Clemson University,3.109
Michal Kianicka,"Southern Illinois, Carbondale",3.105
Danny Kerznerman,University of Alabama,3.098
Dan Elston,Longwood University,3.090
Felipe Fonseca,University of Idaho,3.081
Jared Madison,University of Portland,3.078
Lucas Andersen,Ball State University,3.068
Ilya Osintsev,Santa Clara University,3.053
Cody Rakela,UC Santa Barbara,3.050
Jack Hamburg,University of Minnesota,3.046
Josef Dodridge,University of Wisconsin,3.032
Alexander Ritschard,University of Virginia,3.027
Kevin Farin,University of Oregon,3.019
Jeffrey Schorsch,Valparaiso University,3.016
Wilder Pimentel,Virginia Commonwealth University,3.011
Will Stein,TCU,3.009
Kian McLean,Florida Atlantic University,3.008
Sebastian Beltrame,Harvard University,3.004
Hunter Harrington,Clemson University,3.002
Will Kneale,University of Arizona,3.001
Adrian Ortiz-Ruiz,University of Texas,3.001
Terrell Whitehurst,Florida State University,2.998
Amar Saletovic,Oral Roberts University,2.994
Santiago Munoz,University of Arkansas,2.986
Sam Monette,Indiana University-Bloomington,2.984
Nico Mertens,UC Irvine,2.980
Denis Nguyen,Harvard University,2.974
Michael Riechmann,University of Texas,2.963
Mihir Kumar,Northwestern University,2.961
Garrett Auproux,Cal Poly,2.960
Pedro Iamachkine,Pepperdine,2.959
Leopold Gomez Islinger,"Univ. of Wisconsin, Green Bay",2.953
Arthur Weber,Saint Mary's College of California,2.953
Forrest Edwards,Charlotte,2.950
Xander Veys,UNC Wilmington,2.936
Max Schmidt,Dartmouth College,2.933
Joshua Yablon,Princeton University,2.928
Gal Hakak,University of Washington,2.924
Josh Pompan,University of Pennsylvania,2.916
Shakeel Manji,University of Memphis,2.913
Jose Sangroniz,University of Central Florida,2.889
Trent Botha,Oklahoma State University,2.882
Josh Silverstein,University of Iowa,2.880
Harrison Kennedy,LSU,2.879
Tobias Galskov,UC Santa Barbara,2.879
Kevin Bettendroffer,Texas A&M-Corpus Christi,2.874
Jonny Rigby,"Southern Illinois, Carbondale",2.867
Adam Glynn,Fresno State,2.859
Kenny Tao,Harvard University,2.853
Sam O'Neill,Butler University,2.853
Markus Kerner,SMU,2.834
Fedor Baev,Northwestern University,2.833
Hank Workman,Boston College,2.829
Erik Johnsson,UC Santa Barbara,2.823
Andres Torres,UNC Wilmington,2.820
James Tallman,Univ. of San Francisco,2.819
Tyler Pham,UC Irvine,2.810
Robert Stineman,Stanford University,2.809
Carlos Arbiza,University of Texas at Arlington,2.796
Cedric Willems,University of Utah,2.796
Rakshit Rishi,University of Southern Mississippi,2.789
Luke Johnson,Clemson University,2.783
Matt Begely,Rider University,2.782
Samir Iftikhar,University of New Mexico,2.779
Victor Pugliese,Monmouth University,2.776
Jordi Arconada,Texas A&M University,2.770
Joe VanMeter,Cleveland State University,2.768
Nikolas Papic,Fresno State,2.763
Martin Figura,South Carolina State,2.758
Thomas Weigel,North Carolina State,2.745
Daffra Sanon,Clemson University,2.744
Michael Beiler,Florida Gulf Coast University,2.742
Parker McGuinness,University of Utah,2.736
Sai Kartik Nakireddi,Fresno State,2.706
Austin Siegel,University of Oklahoma,2.696
Everth Dzib,University of South Florida,2.692
Danil Zelenkov,George Washington University,2.690
Chris Simich,University of Louisville,2.689
Alejando Augusto,Clemson University,2.684
J.T. Nishimura,California,2.681
Maxx Lipman,University of Florida,2.671
Oystein Steiro,North Carolina,2.669
Alex Arovin,Tennessee Tech University,2.668
Naoki Takeda,University of Arizona,2.664
Harrison Adams,Texas A&M University,2.662
Daniel Armengol,University of Texas at Arlington,2.637
Kris Yee,Vanderbilt University,2.632
"STEMPIEN, Krzystof",Idaho State University,2.625
Blaine Willenborg,University of Pennsylvania,2.611
Juan Marino,University of Arkansas,2.601
Michael Kay,Georgia Tech,2.598
Arvis Berzins,Fairleigh Dickinson University,2.581
Constantin Schmitz,Tulane University,2.580
Mariano Porter,University of Central Florida,2.580
Leonard Stakhovsky,Penn State University,2.576
Ricky Ventura,Florida Gulf Coast University,2.575
Peter Nagy,Texas A&M-Corpus Christi,2.572
Fernando Sala,Clemson University,2.571
Arkadijs Slobodkins,SMU,2.560
Brandon Sutter,Stanford University,2.556
Renier Moolman,Saint Joseph's University,2.555
Becker O'Shaughnessey,University of Alabama,2.554
Axel Damiens,Cal Poly,2.539
Colin Sinclair,Cornell University,2.527
Justin To,Brown University,2.525
Stuart Kenyon,University of Alabama,2.521
Mads Engsted,California,2.519
Jai Corbett,Virginia Tech,2.516
Brandon Yeoh,Brown University,2.502
Charles Boyce,Loyola Marymount University,2.498
Nicolas Soriano,East Carolina University,2.495
Lamar Remy,University of Wisconsin,2.478
Andrew Poustie,University of Nevada,2.476
Anthony Delcore,Wake Forest University,2.463
Ziqi Wang,Yale University,2.463
Ismael Merino,East Tennessee State University,2.461
Francis Sargeant,Brigham Young University,2.456
Richard Robbie,Duquesne University,2.451
Dan Wright,Bucknell University,2.436
Ettore Zito,Middle Tennessee State University,2.431
Vasileous Stavropolous,University of Nebraska,2.430
Harry Jadun,Michigan State University,2.430
Karan Salwan,Utah State University,2.428
Ristomatti Lanne,Georgia Southern University,2.428
Cormac Clissold,University of Oregon,2.410
Steffen Dierauf,University of Portland,2.408
Cole Fiegel,Georgia Tech,2.403
Michael Tenzer,"Univ. of Wisconsin, Green Bay",2.401
Nick Horton,North Carolina State,2.395
David Herrerias,University of Arkansas,2.393
Jack Schipanski,University of Tennessee,2.383
Daniel Fernandez,Marquette,2.376
Vukasin Teofanovic,Marquette,2.369
Jeremy Kochman,Lehigh University,2.363
Alex Van Cott,Tulane University,2.357
Andre Napolitana,Montana State University-Bozeman,2.356
Christian Harris,Clemson University,2.352
Tremayne Mitchell,Winthrop University,2.349
Jay Leelavanich,Boston University,2.347
Thomas Tenreiro,Boise State University,2.337
Grant Solomon,Harvard University,2.330
Javier Jover Maestre,Old Dominion University,2.329
Alejandro Bejar,Presbyterian College,2.320
Jake Albo,Florida State University,2.313
Lautaro Pane,Pepperdine,2.303
Nils Skajaa,Univ. of San Francisco,2.302
Alvaro Nazal,Gonzaga University,2.293
Alejandro Manzanares,Lipscomb University,2.288
Denys Pume,UNLV,2.286
Brett Bacharach,UC Davis,2.271
Christian Cargill,College of William and Mary,2.271
Sebastian Schneider,Utah State University,2.267
Dimitar Ristovski,Austin Peay State University,2.265
Aries Wong,U.S. Naval Academy,2.258
Muddappa Appanervanda,Illinois State University,2.255
Maik Steiner,Western Michigan University,2.251
Geoffrey Fosso,University of San Diego,2.245
Diego Acosta,Purdue University,2.243
Emmett Egger,University of Washington,2.237
Matt Hagan,University of Iowa,2.236
Alex Hagermoser,Yale University,2.230
Henrique Tsukamoto,University of Miami (Florida),2.230
Dennis Baumgartner,Utah State University,2.222
Terrance Whitehurst,Florida State University,2.220
Carter Lin,University of Michigan,2.214
Ricardo Jorge,University of Mississippi,2.210
Jamie Malik,Rice University,2.203
Josh Schramm,"Univ. of Wisconsin, Green Bay",2.203
Austin Bates,Florida Gulf Coast University,2.203
Ryan Peniston,University of Memphis,2.202
Remi Chancerel,Youngstown State University,2.201
Vikram Hundal,Charlotte,2.199
Dylan Comerford,Winthrop University,2.191
Vadym Kalyuzhnyy,University of South Florida,2.191
Vim De Alwis,University of Pennsylvania,2.189
Tim Abbraciamento,Villanova University,2.187
Hampton Drake,Clemson University,2.179
Rudolf Kurz,Marist College,2.177
Daniel Faierman,Yale University,2.176
Charles Minc,University of Kentucky,2.165
Alex Knight,University of Michigan,2.148
Gian Issa,Middle Tennessee State University,2.140
Rob Mitchell,Lipscomb University,2.132
Daryl Monfils,Virginia Commonwealth University,2.124
Lauri Makikalli,Wright State University,2.121
Adam Gustafsson,Rice University,2.114
Ian Van Cott,Tulane University,2.110
Sofiane Chevallier,Georgia State University,2.106
Alex Araouzos,University of San Diego,2.105
Jonathan Walker,Gardner-Webb University,2.099
Michael Sienko,U.S. Military Academy,2.098
Bert Vancura,Columbia University,2.095
Eduardo Alfonzo,Florida Gulf Coast University,2.093
Michael Reilly,Penn State University,2.092
Daniel Yun,Georgia Tech,2.092
Giovani Samaha,Troy University,2.082
Ismael Dinia,Binghamton University,2.069
Kyle Dunn,Valparaiso University,2.053
Adam Steryous,Furman University,2.051
Will Neuner,Florida Atlantic University,2.045
Alex Petrone,University of Michigan,2.044
Jeff Offerdahl,Vanderbilt University,2.040
Jonathan Hammel,UC Irvine,2.037
Mac Styslinger,University of Virginia,2.036
Brad Marriott,University of Southern Mississippi,2.026
"STEMPIEN, Krzyzstof",Idaho State University,2.025
Ramy Bekheit,Monmouth University,2.022
