player,team,str
Hayes Brewer,University of Alabama,2.019
Julio Olaya,SMU,2.013
Thomas Takemoto,Univ. of San Francisco,2.011
Kamil Khalil,Charlotte,2.006
Sebastian Yllera,East Tennessee State University,2.002
Manuel Bellutti,Cleveland State University,1.999
Naveen Beasley,Cal Poly,1.997
Zachary Morris,Bryant University,1.993
Jefta Kecic,Western Michigan University,1.992
Nicolai Ferrigno,Oklahoma State University,1.986
Nicolas Montoya,University of Notre Dame,1.977
? Amare,The Citadel,1.972
Will Baird,Presbyterian College,1.971
Justin Butsch,LSU,1.967
Walid Gtari,Bethune-Cookman University,1.962
Yannik James,University of Denver,1.961
Nikita Lis,Lamar University,1.958
Toby Mitchell,Boise State University,1.949
Justin Roberts,University of South Florida,1.949
Jorge Escutia,University of New Mexico,1.947
Euan Mcintosh,Fresno State,1.943
Tom Hill,Pepperdine,1.937
Ben Donovan,Cal Poly,1.936
Andrew Adams,University of South Carolina,1.931
Oliver Casey,Appalachian State University,1.922
Sidhartha Hazarika,Binghamton University,1.913
Sam Fleck,Cornell University,1.912
Ryan Smith,Vanderbilt University,1.911
Mitch McDaniels,University of New Mexico,1.906
Hugo Dojas,Texas Tech University,1.904
Ashot Khacharyan,Santa Clara University,1.903
Benny Schweizer,Lamar University,1.898
Adrian Legarreta,Grand Canyon University,1.892
Dillon Segur,Liberty University,1.880
Mehdi Mekaoui,Duquesne University,1.878
Tomas Hanzlik,Penn State University,1.874
Daniel Kripak,UNC Asheville,1.870
Doug Zade,Michigan State University,1.866
Jorg Van Der Vloet,Cleveland State University,1.865
Austin Rapp,UCLA,1.859
Jonathan Poon,UC Irvine,1.858
Alex Van Velzer,U.S. Military Academy,1.852
Austin Akers,Samford University,1.851
Esben Hess-Olesen,North Carolina,1.841
Zach Berry,Univ. of Dayton,1.840
Artem Khrapko,Davidson College,1.835
Stefan Menichella,Pepperdine,1.825
Robin Haden,Mississippi State University,1.810
Peter Beatty,Georgetown University,1.809
Andrew Goodwin,University of Alabama,1.809
Gage Brymer,UCLA,1.807
Jose Carranza,University of Wisconsin,1.794
Gonzalo Arroyo-Baudet,Stetson University,1.792
Vasco Valverde,Univ. of San Francisco,1.791
Ricky Medinilla,Purdue University,1.789
Lucas Plesky,Chattanooga,1.774
Errol Smith,Loyola Marymount University,1.773
Diogo Casa,Univ. of Texas at San Antonio,1.772
Zackery Kennedy,Georgia State University,1.768
Calvin Mark,U.S. Naval Academy,1.767
Laurynas Antropikas,Stetson University,1.764
Christopher Egan-Morriss,UAB,1.757
Mason Keel,Lafayette College,1.747
George Goldhoff,University of Texas,1.744
Baker Newman,Vanderbilt University,1.743
Oliver Landert,University of Florida,1.738
Xabier Saveedra,Drexel University,1.737
Grant Riechmann,U.S. Military Academy,1.736
Scott Huang,College of William and Mary,1.723
Tianyu Bao,Florida Gulf Coast University,1.716
Andrew Watson,University of Memphis,1.714
Nathan Ponton,University of Detroit Mercy,1.710
Michael Feucht,Lamar University,1.707
Dante Saleh,Auburn University,1.706
Stefan Burnett,Florida Atlantic University,1.697
Nikhil Jayashankar,California,1.696
Felix Schueller,Grand Canyon University,1.682
Sam Williams,UNC Wilmington,1.673
Yannick Junger,Univ. of Texas at San Antonio,1.672
Luke Bohuslav,Loyola Marymount University,1.671
Scott Webster,Appalachian State University,1.667
Mathieu Froment,University of Minnesota,1.662
Mac Roy,Michigan State University,1.658
Alex Gornet,University of Louisville,1.657
Francisco Zambon,Texas Tech University,1.657
Aaron Chaffee,College of William and Mary,1.656
Gustav Hansson,University of Mississippi,1.646
Raphael Termat,Stony Brook University,1.645
Nick Dykema,Marquette,1.641
Simon Freund,LSU,1.638
John Zordani,University of Wisconsin,1.635
Martin Figura,South Carolina State,1.634
Aws Laaribi,Penn State University,1.626
Martin Svenning,Yale University,1.624
Jeremy Court,University of Pennsylvania,1.621
Romain Kalaydjian,University of San Diego,1.612
Zachary Yablon,Rice University,1.609
Steven Billington,Campbell University,1.609
Nathan Rakitt,Georgia Tech,1.607
Jordan Kaufman,Elon University,1.600
Christian Coetzee,UAB,1.596
Patrick Pfister,New Mexico State University,1.595
Thiago Pinheiro,University of South Carolina,1.594
Tomas Pitra,University of Wisconsin,1.585
Louis Ishizaka,Virginia Commonwealth University,1.581
Robert Stirling,James Madison University,1.577
Julian Cash,Mississippi State University,1.573
Charlie Nettlefold,SMU,1.569
Michail Pervolarakis,University of Portland,1.559
Brian Foley,Boise State University,1.556
Ray Leonard,Ball State University,1.551
Ben Mullis,Drake University,1.549
Caryl Hernandez,UC Irvine,1.540
Kaue Pereira,Coastal Carolina University,1.540
Kenny Sabacinski,University of Notre Dame,1.538
Jeremy Lynn,University of Minnesota,1.529
Matthew McCoy,Indiana University-Bloomington,1.515
Diego Pedraza,Dartmouth College,1.511
Tomislav Gregurovic,Wichita State University,1.497
Andrey Smirnov,UMKC,1.495
Matt Hamilton,Western Michigan University,1.489
Rafael Davidian,UC Irvine,1.484
Pierre Garcia,University of Portland,1.479
Lucas Lesoeur,Cal Poly,1.479
Bart Van Leijsen,University of New Mexico,1.476
Nicolas Rakitin,Campbell University,1.472
Freddie McGeehan,University of Utah,1.460
Christiaan Van der Burgh,UNC Wilmington,1.456
Aaron Jumonville,Austin Peay State University,1.456
Alberto Esteban,Tennessee Tech University,1.453
Julian Bradley,University of North Florida,1.450
Nathan Debut,Stetson University,1.442
Marc Collado Castells,Penn State University,1.441
Austin Ansari,Clemson University,1.440
Yannick Zuern,University of North Florida,1.428
Paul Cisti,Charlotte,1.417
Pascal Domnik,Norfolk State University,1.417
Daniel Ginzburg,Monmouth University,1.405
Joseph Di Giulio,UCLA,1.401
Ignacio Jiminez,Florida Atlantic University,1.398
Juan Madrid,Elon University,1.396
Dominic Patrick,University of Iowa,1.393
Connor Thompson,UNC Greensboro,1.388
Caio Gomes,University of North Florida,1.381
Stefan Farrar,Eastern Washington University,1.380
William Kallberg,University of Mississippi,1.375
Shuhei Shibahara,UC Irvine,1.373
Johan Jonhagen,University of Utah,1.369
Joat Farah,Loyola Marymount University,1.368
August Nysted,Creighton University,1.366
Duk Young-Park,Morgan State University,1.364
Stieg Martens,University of Iowa,1.363
Sten Leusink,DePaul University,1.352
Joao Barra,University of Washington,1.350
Photos Photiades,Yale University,1.347
Stephen Ong,Temple University,1.347
Wen-Po Tseng,University of Southern Mississippi,1.341
Alexandre Felisa,Stony Brook University,1.341
Guillermo de Vilchez,Wichita State University,1.339
Eric Perez,LSU,1.335
Hayden Smith,Gonzaga University,1.334
Alexandr Rudenco,Montana,1.329
Elijah Melendez,Georgia Tech,1.328
Christopher Geaslen,Elon University,1.327
Norbert Nemcsek,University of North Florida,1.325
Roy Brandys,Sacramento State,1.315
Jakhongir Jalalov,University of Wisconsin,1.305
Andrey Goryachkov,Brigham Young University,1.301
Alex Bourgeois,Loyola Marymount University,1.292
Patrick Elliott,Ball State University,1.292
Akhil Mehta,University at Buffalo,1.290
Daniel Morgan,Columbia University,1.276
Jacob Svensson,Virginia Commonwealth University,1.273
George Wall,Dartmouth College,1.260
Pablo Moreno,Troy University,1.250
Oliver Plaskett,Auburn University,1.246
Washi Gervais,St. Francis Univ. (Pennsylvania),1.245
Ruben Alberts,UNLV,1.242
Philippe Tsangaridis,Coastal Carolina University,1.240
Kieran Cronin,Nicholls State University,1.238
Felix Schumann,Northern Arizona University,1.237
Graham Ball,Stetson University,1.223
Jonny Cornish,University of Virginia,1.222
Teague Hamilton,UC Santa Barbara,1.215
Lee-Shawn Stein,Wagner College,1.213
Nikita Zverkov,Gardner-Webb University,1.194
Lewis Roskilly,Boise State University,1.191
Simon Pritchard,Kennesaw State University,1.190
Michael Moe,Xavier University,1.180
Alex Sidney,Cornell University,1.173
Alfonso Castellano,Longwood University,1.169
Dave Bacalla,Valparaiso University,1.165
Eliott Hureau,Binghamton University,1.158
Arthur Dobradin,Purdue University,1.155
Luke Gamble,Princeton University,1.148
Zack Lewis,College of Charleston,1.147
Carlos Manzanas,Northern Illinois University,1.145
Kial Kaiser,Princeton University,1.141
Nicklas Wingord,Chattanooga,1.134
Andrew Dzulnsky,University of Nebraska,1.131
Mitchell Petersen,Lehigh University,1.129
Javier Pujol,Texas A&M-Corpus Christi,1.129
Joseph Van Dooren,Auburn University,1.126
Alex Woldmoe,Butler University,1.101
Dylan McCloskey,University of Tulsa,1.100
Josh Levine,Duke University,1.089
Sawyer Fonda,Wagner College,1.088
Tam Trinh,LSU,1.085
Fedor Andrienko,Yale University,1.081
Zandrix Acob,Florida Atlantic University,1.079
Matt Kuhar,Bryant University,1.077
Hugo Morth,Youngstown State University,1.077
Xavier Gonzalez,Harvard University,1.073
Joe Motta,Marist College,1.073
Germain Degardin,New Mexico State University,1.072
Joan Carles Alcala,Georgia Southern University,1.067
Christoffer Greve,Illinois State University,1.057
Thibault Forget,University of Southern California,1.056
Matt Cowley,University of Utah,1.054
Keivon Tabrizi,Wake Forest University,1.044
Jakub Eisner,Illinois State University,1.043
Dylan Gee,Jacksonville State University,1.042
Andres Alban,NJIT,1.040
Kristiyan Trukov,Marquette,1.031
Sebastian Ionescu,University at Buffalo,1.030
Shoti Meparizde,North Carolina State,1.027
Bryce McKelvie,UC Davis,1.022
Brendan Tannebaum,Dartmouth College,1.017
Juan Cruz Soria,University of Texas-Pan American,1.013
Alex Aleman,Duquesne University,1.011
Matt Browne,Furman University,1.011
Will Juggins,College of William and Mary,1.007
Ruben Greiner,Western Michigan University,0.996
Garik Yedigarian,Coastal Carolina University,0.980
Eli Whittle,UC Davis,0.977
Daniel Mack,UNC Greensboro,0.965
Rodney Carey,South Carolina State,0.964
Ben Stride,Drake University,0.961
Amaury Navette,UMKC,0.953
Przemyslaw Filipek,Monmouth University,0.953
Andranik Khachatryan,San Diego State University,0.950
Jonathan Hannestad,University at Buffalo,0.945
Daniel Zheng,U.S. Military Academy,0.943
Chas Okamoto,University of Hawaii,0.943
Justin Ghavami,Samford University,0.943
Kevin Wong,University of Michigan,0.943
Georg Lundkvist,Northern Illinois University,0.941
Simon Formont,Northern Illinois University,0.937
Everett Maltby,UC Davis,0.936
Rick Timmerman,Coastal Carolina University,0.930
Andres Cobos,IPFW,0.925
Alex Hamilton,University of the Pacific (California),0.923
Jacob Sullivan,Brigham Young University,0.922
Blake Bazarnik,University of Illinois,0.920
Connor Pietrak,Loyola College (Maryland),0.913
Preston Touliatos,Eastern Illinois University,0.913
Daniel Hernandez,Lipscomb University,0.912
Ramon Simonetti,"University of South Carolina, Upstate",0.903
Mathieu Ounanian,Grand Canyon University,0.902
Todd Volmari,Loyola Marymount University,0.899
Corey Robinson,Duquesne University,0.896
Conor Mullins,Boston College,0.894
Davis Crocker,University of Michigan,0.889
Diego Manzanas,Presbyterian College,0.888
Jaime Barajas,Utah State University,0.886
Alexandr Cozbinov,UNLV,0.883
Dylan Brown,Cornell University,0.882
Olivier Gingras,University of South Alabama,0.881
Jeremy Nuss,Wagner College,0.871
Robin Lesage,Binghamton University,0.868
Mathieu Garcia,University of Portland,0.868
Riley Reist,Ohio State University,0.865
Julian Rozenstein,Quinnipiac University,0.857
Loic Blanco,Stetson University,0.850
Jeremy Schneider,Xavier University,0.850
Brandon Woods,Butler University,0.848
Julian Ruffin,UC Riverside,0.845
Kert Kilumets,North Carolina Central University,0.842
Miguel Alvarez-Hevia,University of Texas-Pan American,0.842
Zachary Goldberg,University of North Florida,0.836
Semion Branzberg,Montana,0.833
Florian Nicoud,Virginia Tech,0.833
Austin Jones,U.S. Naval Academy,0.831
Gustavo Gonzalez,Rice University,0.824
Arsav Mohanty,Mercer University,0.819
Miguel Cepeda,Boston University,0.814
AJ Aziz,Boston College,0.814
Robert Allan,University of Nevada,0.809
Vasily Kichigin,College of Charleston,0.805
Branch Terrell,University of Arkansas,0.805
Carsten Fisher,Univ. of Dayton,0.802
Blake Gregor,University of New Orleans,0.802
Wesley Wong,George Mason University,0.794
Cristobal Rivera,Loyola Marymount University,0.791
Tassilo Schmid,Mississippi State University,0.786
Thomas Spratt,University of Pennsylvania,0.785
William Szamosszegi,Bucknell University,0.784
Sebastian Acuna,Georgia State University,0.780
Tony Miller,University at Buffalo,0.768
Rick Delboi,Wagner College,0.750
Pablo Alvarez,University at Buffalo,0.740
Sam Philp,Mercer University,0.740
Jonas Kuwert,Quinnipiac University,0.731
Chris Angulo,Northern Kentucky University,0.730
Luca Marquard,Pepperdine,0.729
Rishabh Raman,University of Washington,0.713
Michael Moya,Univ. of Northern Colorado,0.704
Eliott Loubatie,"Univ. of Maryland, Baltimore County",0.703
Ali Shabib,Cleveland State University,0.695
Kester Black,Northern Arizona University,0.694
Woravin Kumthonkittikul,Monmouth University,0.690
Nicholas Osterling,Wake Forest University,0.687
Ben Horst,Furman University,0.676
Fares Kilani,Samford University,0.676
Sebastian Salinas,James Madison University,0.674
Shamael Chaudhry,Davidson College,0.671
Andre Romanello,Marquette,0.665
Arnav Mohanty,Mercer University,0.662
Jabor Al-Mutawa,Coastal Carolina University,0.654
Eric Rubin,Columbia University,0.650
Adam Reinhart,IUPUI,0.648
Christian Waldron,Prairie View A&M University,0.646
Justin Carter,"Univ. of Maryland, Baltimore County",0.642
Dylan Hansel,Weber State,0.639
Brice Allanic,College of Charleston,0.639
William Albanese,University of Arkansas,0.633
Ian Dempster,North Carolina State,0.625
Joey Swaysland,University of Oregon,0.619
Blake Anthony,University of Oregon,0.611
Edgar Lopez,University of Louisiana,0.604
Matteo Giudici,Marist College,0.594
Grant Taylor,U.S. Air Force Academy,0.588
Austin Woldmoe,Butler University,0.584
Inaki Espindola,University of Central Florida,0.582
Jimmy Lange,George Mason University,0.581
Jeffrey Melvin,Boston College,0.579
Josh Hurd,Boston University,0.579
Calum McKinlay,Troy University,0.574
Ismael Kaouache,Howard University,0.572
João Gauer,Florida State University,0.548
Mateus Silva,Purdue University,0.548
Alex Croker,UNC Asheville,0.547
Damon Niquet,College of William and Mary,0.540
Augustus Ge,University of New Mexico,0.534
Robert Skolik,Eastern Illinois University,0.534
Brian Kowalski,Elon University,0.532
Jefferson Wendler-FIlho,Jacksonville State University,0.521
Eric Schnurrenberger,University of Notre Dame,0.521
Trey Carter,Samford University,0.500
Sam Bertram,Santa Clara University,0.497
Arthur Stefani,Xavier University,0.497
Abe Hewko,Boise State University,0.490
Michael Lippens,University of Louisville,0.490
Sebastian Mueller,Eastern Kentucky University,0.488
Patryk Koscielski,University of Detroit Mercy,0.487
Carter Lam,University of Hawaii,0.480
Melker Svard,"Univ. of Maryland, Baltimore County",0.477
Gerard Guell,IPFW,0.470
Yale Goldberg,Stanford University,0.469
Nick Kamisar,Gonzaga University,0.462
Jacob Behal,Furman University,0.454
Lasse Muscheites,University of North Florida,0.452
Alejandro Gomez Estrada,Monmouth University,0.442
Benjamin Gilman,Lehigh University,0.438
Sam Lampman,U.S. Military Academy,0.438
Michiel Meekers,Radford University,0.433
Brandon Fickey,University of Tennessee,0.430
Nick Lamart,Bryant University,0.426
Airam Castellano,UMKC,0.425
Felix Van Kann,Loyola Marymount University,0.417
Matt Mendez,Ohio State University,0.412
Evan Karatzas,Nicholls State University,0.406
Marlon Brand,University of the Pacific (California),0.405
Silviu Mistreanu,Youngstown State University,0.404
Daridge Saidi,Eastern Kentucky University,0.398
Ross Guignon,University of Illinois,0.397
Sam Meessen,Nicholls State University,0.396
Philippe Courteau,Lipscomb University,0.395
Koby Jansen,University of Texas-Pan American,0.394
Eddy Covalschi,University of Notre Dame,0.392
Mark Ginting,Univ. of Texas at San Antonio,0.385
Tomas Hons,Northern Arizona University,0.382
Lukas Finzelberg,Oklahoma State University,0.381
Todd Fought,Weber State,0.380
Andrew Nakajima,Utah State University,0.368
Robert Lindgren,Elon University,0.366
Felix Albert,University of Hawaii,0.357
Austin McCasin,U.S. Military Academy,0.343
Sam Swank,University of South Carolina,0.337
Joey Vatanadilok,Univ. of Incarnate Word,0.332
Andreas Boers,Illinois State University,0.328
Paul Cook,Texas A&M-Corpus Christi,0.327
Mikhail Esipov,University of Southern Mississippi,0.326
Igor Smelyanski,University of Tennessee,0.322
Damian Farinola,University of Louisiana,0.321
Nash Vollenwider,Saint Mary's College of California,0.320
Derrick Brown,Chattanooga,0.313
Blest Jones,Loyola College (Maryland),0.308
Luis Gastao,UC Riverside,0.306
Nils Schuhmann,University of Hawaii,0.305
Korhan Ates,Gardner-Webb University,0.304
Pally Ray,University of Louisville,0.303
Addison Appleby,College of William and Mary,0.301
Sean Robles,UC Riverside,0.300
Kevin Lai,University of Kentucky,0.298
Kyle Hoffman,Georgia Southern University,0.296
Jack McCullers,U.S. Air Force Academy,0.295
Jeff Hawke,University of Washington,0.290
Andrei Andrukhou,Georgia State University,0.287
Jack Desse,"Southern Illinois, Edwardsville",0.283
Daniel Santos,University of Tulsa,0.282
Soufiane Mouline,South Carolina State,0.280
Vlad Kramarov,University of Louisiana,0.276
Gabriel Ruiz,Morehead State University,0.273
Nathan Roper,Oklahoma State University,0.273
Conner Huertas,East Tennessee State University,0.271
Ricardo Pabon,East Tennessee State University,0.269
Richard Meade,Florida Atlantic University,0.265
Louis-Philippe Hamel,Northern Illinois University,0.261
Charlie Emhardt,Valparaiso University,0.261
Tucker Saxon,University of Minnesota,0.252
Austin Blake,Mount St. Mary's University,0.250
Frederic Cadieux,Northern Illinois University,0.248
Jack Swindells,Utah State University,0.245
Michael Sinha,University of Wisconsin,0.238
Youssef Khalafallah,George Mason University,0.235
Hector Ramirez,University of Texas-Pan American,0.228
Matt Erdman,Wake Forest University,0.220
Cedric Dujacquier,Belmont University,0.219
Charlie Ghriskey,College of Charleston,0.218
Jarred Wynan,University of Louisiana,0.217
Stathi Kyriakides,University of Richmond,0.211
Simon Julin,Stetson University,0.209
Jac Newis,IUPUI,0.209
Julius Tverijonas,George Washington University,0.205
Nicolas Paulus,Temple University,0.198
Miguel Negre Fernandez,Middle Tennessee State University,0.197
Robert Dula,Eastern Washington University,0.194
Ramon van Flymen,Eastern Kentucky University,0.194
Carlos Fernandez,Quinnipiac University,0.184
Hector Martinez,St. Bonaventure University,0.184
Alex Koca,Creighton University,0.182
Luqman Ebrahim,College of William and Mary,0.182
Maciek Romanowicz,Stanford University,0.179
Alex Calott,Charlotte,0.172
Luis Elizondo,University of Louisville,0.169
Cahit Kapukiran,George Washington University,0.169
Adi Zilberstein,Northern Arizona University,0.167
Amar Hromic,University at Buffalo,0.164
Marcel Chan,University of Hawaii,0.164
Marcus Fritz,Utah State University,0.163
Vaidik Munshaw,St. John's University,0.161
Albert Codina Sala,Georgia Southern University,0.149
Nick Barker,George Mason University,0.149
Blake Wiggins,TCU,0.145
Mitchell Cook,Texas A&M-Corpus Christi,0.140
Daniel McCall,Duke University,0.139
Renan Hanayama,Purdue University,0.137
Daniel Casablancas,Georgia Southern University,0.127
Will George,Kennesaw State University,0.127
Shaun Chaudhuri,Harvard University,0.126
Ethan Ammon,University of Texas-Pan American,0.121
Daniil Ivanov,St. Peter's University,0.121
Sabastian Penalosa,Morehead State University,0.119
Diego Nunez,East Tennessee State University,0.111
Robert Herrera,East Tennessee State University,0.110
Win Reynolds,Colgate University,0.109
Alekander Stupar,South Carolina State,0.108
Jorge Azuero,Liberty University,0.104
Danny Bruce,Presbyterian College,0.102
Chad Hoskins,North Carolina,0.100
Coleman Wahlborg,University of Louisiana,0.098
James Ponwith,University of San Diego,0.094
Scott Hinze,Weber State,0.093
William East,North Carolina Central University,0.090
Alec Josepher,SMU,0.086
Bayo Philips,Drake University,0.085
Alejandro Valencia,Kennesaw State University,0.084
Chris Schindler,University of Nebraska,0.084
Andrew DeJoy,Duke University,0.083
Jake Bouchillon,Kennesaw State University,0.080
Korhan Ates,Gardner-Webb University,0.073
Kai Lemke,University of Memphis,0.071
Emilio Teran,Boston University,0.071
Chase Gordon,University of Tulsa,0.069
David Mushayev,University of Arizona,0.063
Luca Corinteli,University of Virginia,0.058
Grigory Trotsenko,University of Southern Mississippi,0.055
Julien Hochner,Marist College,0.054
Josh Martin,U.S. Naval Academy,0.054
Andrew Riminton,UC Santa Barbara,0.054
Gus Benson,University of Kentucky,0.053
Josh Luck,Elon University,0.053
Gabriel Chavas Araujo,Xavier University,0.053
Jose Chamba,University of the Pacific (California),0.053
Mikey Raymond,"Southern Illinois, Edwardsville",0.053
Jonas Stropus,Eastern Kentucky University,0.050
Ernest Alberch,Gardner-Webb University,0.050
Santiago Cevallos,San Diego State University,0.049
Charlie Shin,University of Nebraska,0.048
Michael Birnbaum,Chattanooga,0.046
Hudson Blake,TCU,0.045
Julien Philippe,Fairleigh Dickinson University,0.041
Tucker Massie,U.S. Naval Academy,0.040
Rui Silva,University of New Orleans,0.034
Jan Dernic,Marist College,0.032
Hunter Whalen,Coastal Carolina University,0.031
Eric Fitz-Randolph,SMU,0.029
Austin Russell,Northern Illinois University,0.027
Brandon Harris,Saint Louis University,0.027
Connor Curry,Texas Tech University,0.023
David Schenk,South Carolina State,0.023
Ross Nigro,East Carolina University,0.022
Marthinus Visser,Campbell University,0.022
Strahinja Trecakov,New Mexico State University,0.021
Jack Riazzi,Davidson College,0.021
Leonard Gerch,Oklahoma State University,0.015
Ben Kelley,Presbyterian College,0.012
Alex Pozo,"Southern Illinois, Carbondale",0.012
Grey Hamilton,University of Mississippi,0.011
Daniel Khanin,Georgetown University,0.010
Jasper Koenen,Michigan State University,0.008
Adrien Rossignon,Campbell University,0.008
Vuk Subotic,Drexel University,0.005
Vladimir Mijatovic,Gonzaga University,-0.001
Caison Best,U.S. Military Academy,-0.005
Luke Adamus,Monmouth University,-0.011
Bernard Tefel,University of Miami (Florida),-0.016
Jesse Ross,UC Davis,-0.021
Cameron Tehrani,Marquette,-0.024
Aidan Carrazedo,Brigham Young University,-0.028
Peter Nagovnak,Winthrop University,-0.029
Alexander Chepik,Bethune-Cookman University,-0.031
Vasili Caripi,St. John's University,-0.034
Jake Jacoby,University of Iowa,-0.034
Kevin Gonzalez,Stetson University,-0.037
Cristobal Ramos Salazar,University of Idaho,-0.040
David Doehring,Loyola Marymount University,-0.041
Chris Reynolds,George Washington University,-0.042
Mackenzie Stearns,Marquette,-0.044
Marco Lam,Georgetown University,-0.045
Victor Cornea,Texas Tech University,-0.046
Mathias Chaim,Jacksonville State University,-0.046
Stuart DePaolo,North Carolina,-0.049
Aaron Sandberg,Brown University,-0.050
Walner Espinoza,Florida A&M University,-0.050
Alex Toliver,IUPUI,-0.051
Odon Barta,University of Idaho,-0.054
Daniel Gray,"Univ. of Maryland, Baltimore County",-0.071
Egon Samaai,Liberty University,-0.071
Bernardo Oliveira,University of the Pacific (California),-0.081
Joao Riquelme,Univ. of Texas at San Antonio,-0.085
Alexandre Locci,Northern Arizona University,-0.094
Andrew Gong,UC Irvine,-0.101
